X_INDEX;Y_INDEX;GRID005ID;AOI;X_MIN;X_CENTER;X_MAX;Y_MIN;Y_CENTER;Y_MAX;SHAPE_AREA;SHAPE_LENG;INDEX_LABE;PRE_1980;POST_1980;LOW_RISE;MID_RISE;HIGH_RISE;MODERATE;M5;M2_ADOBE;STONE;ALL_YEAR;TYPE;RISE;TOTAL;RC_L;M1_L;M2_L;M5_L;RC_M;M1_M;M2_M;M5_M;RC_H;M1_H;M2_H;M5_H;TOTAL_BLD;POPULATION
544;831;5440831;0;27.200000;27.225000;27.250000;41.550000;41.575000;41.600000;0.002500;0.200000;0;50.300586;40.074073;84.004013;6.217668;0.152978;37.865343;36.118542;15.292993;1.097781;90.374659;179.651537000000000;90.374659;90.374659;35.196158;1.020396;14.214967;33.572492;2.605090;0.075526;1.052140;2.484912;0.064095;0.001858;0.025887;0.061138;90.374659;812
545;831;5450831;0;27.250000;27.275000;27.300000;41.550000;41.575000;41.600000;0.002500;0.200000;0;15.231941;13.834701;25.652403;3.254501;0.159737;8.735177;16.041351;3.420552;0.869560;29.066641;57.263722000000000;29.066641;29.066641;7.709122;0.767420;3.018766;14.157095;0.978050;0.097362;0.382989;1.796100;0.048005;0.004779;0.018798;0.088156;29.066642;235
546;831;5460831;0;27.300000;27.325000;27.350000;41.550000;41.575000;41.600000;0.002500;0.200000;0;14.989076;15.750215;27.450316;3.136605;0.152371;7.309670;20.018414;2.387705;1.023502;30.739291;60.455081000000000;30.739291;30.739291;6.527566;0.913992;2.132231;17.876527;0.745871;0.104437;0.243639;2.042658;0.036233;0.005073;0.011836;0.099229;30.739292;235
547;831;5470831;0;27.350000;27.375000;27.400000;41.550000;41.575000;41.600000;0.002500;0.200000;0;9.600875;13.860155;22.412112;1.048283;0.000636;4.387293;18.153961;0.299217;0.620560;23.461030;46.301501000000000;23.461030;23.461030;4.191141;0.592816;0.285839;17.342316;0.196032;0.027728;0.013370;0.811153;0.000119;0.000017;0.000008;0.000492;23.461031;171
548;831;5480831;1;27.400000;27.425000;27.450000;41.550000;41.575000;41.600000;0.002500;0.200000;0;19.005854;27.917556;43.052213;3.867334;0.003863;13.609984;30.569651;1.670291;1.073484;46.923410;92.773336000000000;46.923410;46.923410;12.487156;0.984921;1.532492;28.047645;1.121708;0.088474;0.137662;2.519490;0.001121;0.000088;0.000138;0.002517;46.923412;365
549;831;5490831;1;27.450000;27.475000;27.500000;41.550000;41.575000;41.600000;0.002500;0.200000;0;23.340395;34.135145;53.279978;4.191629;0.003934;15.181336;39.211900;1.715772;1.366533;57.475540;113.584548000000000;57.475540;57.475540;14.073139;1.266780;1.590525;36.349535;1.107158;0.099660;0.125129;2.859681;0.001039;0.000094;0.000117;0.002684;57.475541;440
550;831;5500831;1;27.500000;27.525000;27.550000;41.550000;41.575000;41.600000;0.002500;0.200000;0;27.324688;39.851366;62.678451;4.493598;0.004005;16.636374;47.144202;1.759910;1.635567;67.176054;132.716540000000000;67.176054;67.176054;15.522528;1.526062;1.642080;43.987782;1.112855;0.109408;0.117725;3.153610;0.000992;0.000098;0.000105;0.002810;67.176055;509
551;831;5510831;1;27.550000;27.575000;27.600000;41.550000;41.575000;41.600000;0.002500;0.200000;0;28.767696;41.178696;68.117025;1.829367;0.000000;9.541405;58.324530;0.107610;1.972847;69.946392;137.919937000000000;69.946392;69.946392;9.291861;1.921250;0.104795;56.799119;0.249544;0.051598;0.002814;1.525411;0.000000;0.000000;0.000000;0.000000;69.946392;493
552;831;5520831;1;27.600000;27.625000;27.650000;41.550000;41.575000;41.600000;0.002500;0.200000;0;13.035597;14.410645;27.331210;0.115032;0.000000;17.042394;9.140907;1.028949;0.231687;27.446241;54.658491000000000;27.446241;27.446241;16.970967;0.230715;1.024636;9.102596;0.071427;0.000971;0.004312;0.038311;0.000000;0.000000;0.000000;0.000000;27.443935;184
553;831;5530831;1;27.650000;27.675000;27.700000;41.550000;41.575000;41.600000;0.002500;0.200000;0;11.740395;12.362243;24.102638;0.000000;0.000000;17.194822;5.723891;1.068957;0.112558;24.102638;48.090308000000000;24.102638;24.102638;17.194822;0.112558;1.068957;5.723891;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;24.100228;160
